Reference,Post Title,URL
SE1,"Integration Testing best practices",http://www.stackoverflow.com/questions/1328730
SE2,"What are techniques to run acceptance tests in a cloud app without polluting the environment with test data?",https://softwareengineering.stackexchange.com/questions/356741
SE3,"TDD: "Test Only Methods",http://www.stackoverflow.com/questions/2295965
SE4,"Good approach/Strategy to keep integration test database in-sync with production db?",https://softwareengineering.stackexchange.com/questions/302458
SE5,"Managing database connections for unit tests",https://codereview.stackexchange.com/questions/201711
SE6,"Unit-Tests and databases: At which point do I actually connect to the database?",https://softwareengineering.stackexchange.com/questions/206539
SE7,"In JUnit 5, how to run code before all tests",http://www.stackoverflow.com/questions/43282798
SE8,"Spring integration tests with profile",http://www.stackoverflow.com/questions/20551681
SE9,"Different db for testing in Django?",http://www.stackoverflow.com/questions/4650509
SE10,"How to run Django tests on Heroku",http://www.stackoverflow.com/questions/13705328
SE11,"Django test to use existing database",http://www.stackoverflow.com/questions/6250353
SE12,"How to suppress InMemoryEventId.TransactionIgnoredWarning when unit testing with in-memory database with transactions?",http://www.stackoverflow.com/questions/44080733
SE13,"In-memory MongoDB for test?",http://www.stackoverflow.com/questions/13607732
SE14,"Should mock objects for tests be created at a high or low level",https://softwareengineering.stackexchange.com/questions/216072
SE15,"What's the idea behind mocking data access in unit tests",https://softwareengineering.stackexchange.com/questions/262686
SE16,"Ways of unit testing data access layer",http://www.stackoverflow.com/questions/15000908
SE17,"How to Mock Test Data for complicated Integration/GUI automated tests",https://softwareengineering.stackexchange.com/questions/405456
SE18,"How to throw a SqlException when needed for mocking and unit testing?",http://www.stackoverflow.com/questions/1386962
SE19,"How to write unit tests without mocking data",https://softwareengineering.stackexchange.com/questions/193614
SE20,"Unit testing Systems with Logic Tightly Coupled with Data",https://softwareengineering.stackexchange.com/questions/356087
SE21,"Rethinking testing strategy",https://softwareengineering.stackexchange.com/questions/212887
SE22,"How to turn off parallel execution of tests for multi-project builds?",http://www.stackoverflow.com/questions/11899723
SE23,"Unit testing Room and LiveData",http://www.stackoverflow.com/questions/44270688
SE24,"How to run tests in parallel in Django?",http://www.stackoverflow.com/questions/5303819
SE25,"What's the best strategy for unit-testing database-driven applications?",http://www.stackoverflow.com/questions/145131
SE26,"How do you handle testing applications that are heavily dependent on databases?",http://www.stackoverflow.com/questions/2393428
SE27,"Rails 3.0.7 -> How do you get your tests to run faster?",http://www.stackoverflow.com/questions/6087329
SE28,"How can I automatically test my site for SQL injection attacks, using either a script or program?",http://www.stackoverflow.com/questions/9685884
SE29,"Django: is there a way to count SQL queries from an unit test?",http://www.stackoverflow.com/questions/1254170
SE30,"Do you test your SQL/HQL/Criteria?",https://softwareengineering.stackexchange.com/questions/33182
SE31,"How do I test database migrations?",http://www.stackoverflow.com/questions/2332400
SE32,"How to show SQL query log generated by a RSpec test?",http://www.stackoverflow.com/questions/6884408
SE33,"SQL queries in integration tests",https://softwareengineering.stackexchange.com/questions/326003
SE34,"Integrating Automated Web Testing Into Build Process",http://www.stackoverflow.com/questions/1240057
SE35,"What is a good method of storing test data for development and unit testing with angularjs and jasmine?",https://softwareengineering.stackexchange.com/questions/238971
SE36,"Do the terms "unit test" and "integration test" sometimes overlap or conflict?",https://softwareengineering.stackexchange.com/questions/302559
SE37,"Databases and Unit/Integration Testing",https://softwareengineering.stackexchange.com/questions/101273
SE38,"How do you unit test business applications?",http://www.stackoverflow.com/questions/38598
SE39,"Unit Test vs Integration Test in Web Development",http://www.stackoverflow.com/questions/15292751
SE40,"Should on each test create and nuke a testing database?",https://softwareengineering.stackexchange.com/questions/394145
SE41,"Testing - In-Memory DB vs Mocking",https://softwareengineering.stackexchange.com/questions/358491
SE42,"Unit testing a service to return items from a database",https://codereview.stackexchange.com/questions/98301
